DOG_ID,VIDEO_ID,GROUP,SPLIT_CLOSED_SET,SPLIT_OPEN_SET
0062cada-a402-41bb-980e-6ae5e0672440,0062cada-a402-41bb-980e-6ae5e0672440-4f82f8da-1e3f-46f8-b48a-3a161d52cdf0.mp4,0,gallery,query
0062cada-a402-41bb-980e-6ae5e0672440,0062cada-a402-41bb-980e-6ae5e0672440-ac31fe97-5ef0-414e-8911-8f1da9f5e0a9.mp4,0,gallery,query
0062cada-a402-41bb-980e-6ae5e0672440,0062cada-a402-41bb-980e-6ae5e0672440-3f13a35c-be97-4331-b1f9-503bf4628e00.mp4,0,gallery,query
0062cada-a402-41bb-980e-6ae5e0672440,0062cada-a402-41bb-980e-6ae5e0672440-6efb5b41-a90d-4833-b72a-3840bb0e9298.mp4,1,query,gallery
0062cada-a402-41bb-980e-6ae5e0672440,0062cada-a402-41bb-980e-6ae5e0672440-cd41e597-1c25-4120-a4dc-01fd7daabae1.mp4,1,query,gallery
006e92b4-8c6a-4fb2-a870-d172b70546a5,006e92b4-8c6a-4fb2-a870-d172b70546a5-666b589d-ead2-4f01-ab24-6ffe44c7b99f.mp4,1,train,train
006e92b4-8c6a-4fb2-a870-d172b70546a5,006e92b4-8c6a-4fb2-a870-d172b70546a5-88aa360b-9a70-47f2-90cf-521b24d96699.mp4,0,train,train
006e92b4-8c6a-4fb2-a870-d172b70546a5,006e92b4-8c6a-4fb2-a870-d172b70546a5-be8d0b48-4b69-4e1c-a707-566e7659b5c1.mp4,1,train,train
006e92b4-8c6a-4fb2-a870-d172b70546a5,006e92b4-8c6a-4fb2-a870-d172b70546a5-fc0b0b71-4789-48fe-8cb0-5e3d59dd6032.mp4,0,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-142def30-2012-42a0-9da9-2d700b59d2aa.mp4,0,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-182c7c25-34e6-4ef6-83e9-eabfe4ec5582.mp4,0,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-3a1ea585-ab17-43fb-a6e6-1466d7614eba.mp4,1,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-5f35e50b-e81a-41dc-90d1-59d0db4c43ce.mp4,1,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-6bd7aefa-7679-4688-9df2-a45d8a7e7fd1.mp4,1,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-76fbb245-fa84-4b1f-bb5f-5d6554cde96d.mp4,0,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-7f95d56b-25f9-4c66-b95c-841663b6da1a.mp4,0,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-8e1e8e49-8b0f-4c1d-9c94-7db3a110353f.mp4,0,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-9d52de9e-6593-4c5b-a70b-67a1d1db4b92.mp4,1,train,train
0072c0df-11b7-4ea9-8f41-d0a4d043c1c7,0072c0df-11b7-4ea9-8f41-d0a4d043c1c7-f2880cbc-1610-42a2-8fa6-71b73a50ce89.mp4,0,train,train
007b5e86-449d-4c03-96d2-f0ac1782c9b3,007b5e86-449d-4c03-96d2-f0ac1782c9b3-03ac9ef3-6d35-4642-85e2-0b13a2bd6d76.mp4,0,query,train
007b5e86-449d-4c03-96d2-f0ac1782c9b3,007b5e86-449d-4c03-96d2-f0ac1782c9b3-4f78621f-64a9-46ad-9f2c-14858afc8dbe.mp4,0,query,train
007b5e86-449d-4c03-96d2-f0ac1782c9b3,007b5e86-449d-4c03-96d2-f0ac1782c9b3-5fb37a8a-2f95-4057-b1f8-833177755d97.mp4,0,query,train
007b5e86-449d-4c03-96d2-f0ac1782c9b3,007b5e86-449d-4c03-96d2-f0ac1782c9b3-9e3458fa-67a6-4cc5-a845-57cd296a1a1b.mp4,0,query,train
007b5e86-449d-4c03-96d2-f0ac1782c9b3,007b5e86-449d-4c03-96d2-f0ac1782c9b3-a92cc310-e9aa-4fe8-a42f-2878c3578f05.mp4,0,query,train
007b5e86-449d-4c03-96d2-f0ac1782c9b3,007b5e86-449d-4c03-96d2-f0ac1782c9b3-d01c80c2-775a-4d61-9616-612fa08764c0.mp4,1,gallery,train
007b5e86-449d-4c03-96d2-f0ac1782c9b3,007b5e86-449d-4c03-96d2-f0ac1782c9b3-dc71645d-ea2b-45dc-9f53-0df16c5eb975.mp4,1,gallery,train
007b5e86-449d-4c03-96d2-f0ac1782c9b3,007b5e86-449d-4c03-96d2-f0ac1782c9b3-5c8e898a-17aa-4c46-90e5-39d3039a6efc.mp4,1,gallery,train
00ab4db8-3e94-44e3-a4b1-9fe316c67b60,00ab4db8-3e94-44e3-a4b1-9fe316c67b60-2cc7b112-2af8-4466-931a-c83a2466d81a.mp4,0,train,train
00ab4db8-3e94-44e3-a4b1-9fe316c67b60,00ab4db8-3e94-44e3-a4b1-9fe316c67b60-bdeafaaf-6f78-4331-8706-b31ca936ec78.mp4,0,train,train
00ab4db8-3e94-44e3-a4b1-9fe316c67b60,00ab4db8-3e94-44e3-a4b1-9fe316c67b60-cbb6f485-e03e-4098-99d7-ca20354f83b2.mp4,0,train,train
00ab4db8-3e94-44e3-a4b1-9fe316c67b60,00ab4db8-3e94-44e3-a4b1-9fe316c67b60-d74e9e57-4346-42bd-9aef-49c295373088.mp4,1,train,train
00ab4db8-3e94-44e3-a4b1-9fe316c67b60,00ab4db8-3e94-44e3-a4b1-9fe316c67b60-a020678b-ccf9-4933-b841-ae6a33ecb104.mp4,1,train,train
0121a186-9c28-487e-a541-60fdeab21766,0121a186-9c28-487e-a541-60fdeab21766-3d984be7-43e9-461d-902c-7a788340080e.mp4,0,gallery,train
0121a186-9c28-487e-a541-60fdeab21766,0121a186-9c28-487e-a541-60fdeab21766-a9c12219-6ef5-46cf-ac06-2e9e5b85acdf.mp4,1,query,train
0121a186-9c28-487e-a541-60fdeab21766,0121a186-9c28-487e-a541-60fdeab21766-dacc7fb6-361f-4fc5-804c-e84e44bad317.mp4,0,gallery,train
