DOG_ID,BREED
535b5148-3787-4a83-8af0-0cddad634d61,12AmericanCockerand12GoldenRetriever
a8e0689e-d31c-4d50-b55a-dc8d30d0b3f1,12Dachshund14Maltese14Shihtzu
8755fb4e-6b3d-4ecb-8303-8c1e07977b80,Airedale
10541c3c-42f8-4c22-b974-5032add36da4,AlaskanMalamute
1efa14c7-69f5-4a42-a4d4-974540c92f74,AlaskanMalamute
f781e62c-0d56-4265-97af-ad2e86da110c,Allthreepurebordercollie
df29097a-553f-4b44-ac06-ab71e4e432d1,Amastaff
38157e9e-f2a7-4207-ba5d-b75a392db31a,AmericanBulldog
8589dc96-e01a-43b6-ab82-dcb784df7c00,AmericanBulldog
8e9c4ac6-a82b-4401-bc10-f39f66be1245,AmericanBully
c5991b0b-cd68-4267-ab46-34c892733ff8,AmericanCockerSpaniel
e8505687-5baf-4ea4-8b85-3a358b880bec,AmericanCockerandGoldenRetrievermix
f485006d-b6c6-4f80-bb72-b769cb1379b9,AmericanEskimo
d678cb6b-cb09-4666-99d9-826993afb58a,AmericanEskimo
f58f87da-8ef7-4e0a-8181-c23a6d1c063b,AmericanEskimo
511f26e6-6a6f-4ef3-a004-c05e4f45eb6a,AmericanEskimofox
04048516-87e6-42a4-8805-69b5a3e19c73,AmericanPitBullTerrier
50d27402-1547-43d1-a9cc-7d30befa1c30,AmericanPitBullTerrier
27932dd9-f25f-4688-9999-f194b60711aa,AmericanStaffordshireterriermix
e870b542-d609-40bb-b6b0-12bbe6746b49,AmericanStaffy
a4c6538a-99e5-4b0e-8835-822849f32877,AmericanTerrier
cf4a1756-0c04-4abc-be7b-56fcbb3c212f,Americanbully
09863330-8dc8-475c-a18f-bbc1b7fde732,Americanbully
43756148-b691-4993-ace6-14c0731d5d60,Americanbully
22df082c-d47d-446f-97fd-e6d968f56c45,Americanpitbullterrier
efc9fee9-d87e-49a8-b34e-ac03acfd44ad,Americanpitbullterriermix
6e27108f-f179-4e41-9681-9f0e8f03e563,Americanpocketbully
92af3b23-f87d-4518-93fa-505c5ee7eb4d,Americanstaffordshireterrier
5c47b26e-f1b1-43f0-b317-5db8acc5f287,Amstaff
fd027b74-acd0-4135-930d-2dfa8fea9b1e,AndalusianPodenco
ac451abc-0494-4135-aa7d-9b48f4c482a2,Aussie
c8c4ccf0-75a3-4a1a-8c18-9568775e1d23,Aussie
1753e2ba-6975-41e9-ab2f-eabf3477f3bd,AussieSheppard
53c5ae73-b88c-4f58-bae8-b1d7b61baaf7,Aussiecolliemix
1448ca52-76fe-4ed4-9a74-5669c4d4d26e,Aussiedoodle
a8558124-b655-4436-871f-712de50b7076,AustralianCattledog
cb1d0c0b-41bc-454f-9f89-13af6bf6dcf7,AustralianLabradoodle
3c32d0e7-05ee-4279-be64-9ca89094be68,AustralianShepard
d4f3574a-923a-4c73-912a-5bc1d343cb2b,AustralianSheperdLabradorMix
ebe3a4d0-7a6c-494e-a7c1-9ddc9eb5216d,AustralianShepherd
2f54f0a7-287d-4ead-aaf3-75cb955afcca,AustralianShepherd
04e4686e-5171-4147-958a-e640ba3de166,AustralianShepherd
afb7dee3-4fdd-4e69-aee3-df4c52ebd63d,AustralianShepherd
987829e0-46c0-49b2-962d-ad73480818b3,AustralianShepherd
ade3a14f-05a3-4cb0-9f52-0d14331cec55,AustralianTerrier
a58bccff-74e6-4364-ad9f-0e4934996617,Australiancattledogmix
e60977e2-989f-470d-a6c3-b554902fa868,Australiankelpie
d6b08d7b-0c14-42e5-bdd7-7352b3141dd2,Australianshepherd
bf89326e-b583-464b-bee6-03eb274c13cf,Australianshepherd
1c6b18b3-4556-4dca-a94c-16c80d321fd8,Australianshepherd
5e6a5806-e7a8-42d5-8efd-47956fa0beab,Australianshepherdstandardblacktri
cc5855c8-c3cd-41e5-bd5b-d9230fbc9f94,AustralienShepherd
4c7b135b-e1a4-4995-b236-c754cb45befb,Avtralskiovar
a815760f-844d-489c-89ca-36ab05c98881,Aziat
7d5c8043-3ad8-46d3-afb3-817de3af130c,BORDERCOLLIE
04e30cae-868e-4ee4-b2f3-96deea3ac811,Basenji
bc6bc162-5040-4472-85b3-d22cd3cafdc2,BassetHound
3f0a6e04-c788-4ce9-b811-8f01d583edee,BassetLabMutt
237bfb20-e62a-4e10-96e7-44b0d1f53875,Bassethound
8d60230d-c2c9-40aa-8db3-4a57b286c5a3,Bassetthoundxspringerspaniel
01298aba-8d74-417d-9ecb-c4fb0ea31425,Bavarianmountainhound
c4351ec4-49e4-486e-911b-8bc633a008a1,Beagle
73e7ccfd-ddc7-4475-b929-5d9e0f5f1e23,Beagle
5ef1097b-3fbb-4981-b443-994275601d9e,Beagle
d8b420d3-fa1a-4513-8ed6-7a2241fbec8f,Beagle
9d5918b2-0224-42bd-9f97-8ae35795f248,Beagle
6257a741-1ab6-4138-993a-324e447e2ccb,Beagle
5c18c1bc-d6e7-46b3-8649-b0c752571c5b,Beagle
